Date,Daily Precip (mm)
2025-03-01,0.51
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,0.25
2025-03-05,25.900000000000002
2025-03-06,1.02
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.0
2025-03-13,0.0
2025-03-14,0.0
2025-03-15,3.55
2025-03-16,6.85
2025-03-17,0.25
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,4.57
2025-03-21,0.0
2025-03-22,0.76
2025-03-23,0.0
2025-03-24,6.33
2025-03-25,0.25
2025-03-26,0.0
2025-03-27,0.0
2025-03-28,0.0
2025-03-29,37.08
2025-03-30,0.51
2025-03-31,0.0
2025-04-01,0.0
2025-04-02,9.91
2025-04-03,0.0
2025-04-04,0.0
2025-04-05,0.76
2025-04-06,0.0
2025-04-07,0.0
2025-04-08,0.0
2025-04-09,0.0
2025-04-10,0.0
2025-04-11,0.0
2025-04-12,0.0
2025-04-13,0.0
2025-04-14,0.0
2025-04-15,0.0
2025-04-16,0.0
2025-04-17,0.0
2025-04-18,12.7
2025-04-19,2.7800000000000002
2025-04-20,0.0
2025-04-21,7.3500000000000005
2025-04-22,1.27
2025-04-23,0.0
2025-04-24,0.0
2025-04-25,0.0
2025-04-26,1.01
2025-04-27,0.0
2025-04-28,0.0
2025-04-29,12.95
2025-04-30,0.0
2025-05-01,14.959999999999999
2025-05-02,0.25
2025-05-03,0.0
2025-05-04,0.0
2025-05-05,0.0
2025-05-06,4.83
2025-05-07,0.0
2025-05-08,0.0
2025-05-09,0.0
2025-05-10,0.0
2025-05-11,0.0
2025-05-12,0.0
2025-05-13,0.0
2025-05-14,3.55
2025-05-15,0.0
2025-05-16,6.35
2025-05-17,18.26
2025-05-18,0.75
2025-05-19,0.0
2025-05-20,0.0
2025-05-21,6.6
2025-05-22,0.0
2025-05-23,0.0
2025-05-24,0.0
2025-05-25,0.0
2025-05-26,0.0
2025-05-27,0.0
2025-05-28,0.0
2025-05-29,3.81
2025-05-30,0.51
2025-05-31,0.0
2025-06-01,0.0
2025-06-02,0.0
2025-06-03,0.0
2025-06-04,3.04
2025-06-05,0.0
2025-06-06,0.0
2025-06-07,0.0
2025-06-08,0.0
2025-06-09,1.27
2025-06-10,1.51
2025-06-11,0.0
2025-06-12,0.0
2025-06-13,0.0
2025-06-14,0.0
2025-06-15,0.0
2025-06-16,0.0
2025-06-17,0.0
2025-06-18,0.25
2025-06-19,15.48
2025-06-20,0.0
2025-06-21,29.720000000000002
2025-06-22,0.0
2025-06-23,0.0
2025-06-24,1.52
2025-06-25,0.0
2025-06-26,3.29
2025-06-27,0.25
2025-06-28,0.0
2025-06-29,0.0
2025-06-30,13.709999999999999
2025-07-01,0.0
2025-07-02,0.0
2025-07-03,0.0
2025-07-04,0.0
2025-07-05,0.0
2025-07-06,6.09
2025-07-07,0.25
2025-07-08,0.0
2025-07-09,0.0
2025-07-10,0.0
2025-07-11,2.28
2025-07-12,1.27
2025-07-13,0.0
2025-07-14,0.0
2025-07-15,0.0
2025-07-16,16.259999999999998
2025-07-17,64.01
2025-07-18,0.0
2025-07-19,7.87
2025-07-20,0.25
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,3.8099999999999996
2025-07-25,0.0
2025-07-26,14.729999999999999
2025-07-27,0.0
2025-07-28,0.0
2025-07-29,0.0
2025-07-30,0.25
2025-07-31,0.0
2025-08-01,0.0
2025-08-02,0.0
2025-08-03,0.0
2025-08-04,0.0
2025-08-05,0.0
2025-08-06,0.0
2025-08-07,0.0
2025-08-08,0.51
2025-08-09,0.0
2025-08-10,0.0
2025-08-11,0.0
2025-08-12,3.04
2025-08-13,0.0
2025-08-14,0.0
2025-08-15,0.0
2025-08-16,0.0
2025-08-17,0.0
2025-08-18,0.0
2025-08-19,10.92
2025-08-20,0.0
2025-08-21,0.0
2025-08-22,0.0
2025-08-23,0.0
2025-08-24,2.79
2025-08-25,1.27
2025-08-26,0.0
2025-08-27,0.0
2025-08-28,3.2899999999999996
2025-08-29,0.0
2025-08-30,0.0
2025-08-31,0.0
2025-09-01,0.0
2025-09-02,0.0
2025-09-03,8.11
2025-09-04,0.0
2025-09-05,3.56
2025-09-06,2.27
2025-09-07,1.27
2025-09-08,0.0
2025-09-09,0.0
2025-09-10,0.0
2025-09-11,0.0
2025-09-12,0.0
2025-09-13,0.0
2025-09-14,0.0
2025-09-15,0.0
2025-09-16,0.0
2025-09-17,0.0
2025-09-18,0.0
2025-09-19,0.0
2025-09-20,2.29
2025-09-21,10.15
2025-09-22,0.25
2025-09-23,0.0
2025-09-24,0.0
2025-09-25,0.0
2025-09-26,0.0
2025-09-27,0.0
2025-09-28,0.0
2025-09-29,0.0
2025-09-30,0.0
2025-10-01,0.0
2025-10-02,0.0
2025-10-03,0.0
2025-10-04,0.0
2025-10-05,0.0
2025-10-06,0.0
2025-10-07,9.91
2025-10-08,0.0
2025-10-09,0.0
2025-10-10,2.02
2025-10-11,0.0
2025-10-12,0.0
2025-10-13,0.0
2025-10-14,0.0
2025-10-15,0.5
